population_size,sex,age,ethnicity,pa_id
1263,male,Age 75 to 79,white,11
851,male,Age 80 to 84,white,11
647,male,Age 85 and over,white,11
7171,female,Age 15 and below,white,11
1025,female,Age 16 to 17,white,11
925,female,Age 18 to 19,white,11
2290,female,Age 20 to 24,white,11
2462,female,Age 25 to 29,white,11
2410,female,Age 30 to 34,white,11
2695,female,Age 35 to 39,white,11
3213,female,Age 40 to 44,white,11
3194,female,Age 45 to 49,white,11
2926,female,Age 50 to 54,white,11
2813,female,Age 55 to 59,white,11
3127,female,Age 60 to 64,white,11
2520,female,Age 65 to 69,white,11
1818,female,Age 70 to 74,white,11
1516,female,Age 75 to 79,white,11
1192,female,Age 80 to 84,white,11
1372,female,Age 85 and over,white,11
112,male,Age 15 and below,mixed,11
17,male,Age 16 to 17,mixed,11
10,male,Age 18 to 19,mixed,11
36,male,Age 20 to 24,mixed,11
28,male,Age 25 to 29,mixed,11
14,male,Age 30 to 34,mixed,11
17,male,Age 35 to 39,mixed,11
11,male,Age 40 to 44,mixed,11
26,male,Age 45 to 49,mixed,11
11,male,Age 50 to 54,mixed,11
7,male,Age 55 to 59,mixed,11
2,male,Age 60 to 64,mixed,11
2,male,Age 65 to 69,mixed,11
4,male,Age 70 to 74,mixed,11
3,male,Age 75 to 79,mixed,11
1,male,Age 80 to 84,mixed,11
1,male,Age 85 and over,mixed,11
97,female,Age 15 and below,mixed,11
15,female,Age 16 to 17,mixed,11
22,female,Age 18 to 19,mixed,11
20,female,Age 20 to 24,mixed,11
17,female,Age 25 to 29,mixed,11
18,female,Age 30 to 34,mixed,11
15,female,Age 35 to 39,mixed,11
11,female,Age 40 to 44,mixed,11
8,female,Age 45 to 49,mixed,11
6,female,Age 50 to 54,mixed,11
8,female,Age 55 to 59,mixed,11
5,female,Age 60 to 64,mixed,11
3,female,Age 65 to 69,mixed,11
5,female,Age 70 to 74,mixed,11
5,female,Age 75 to 79,mixed,11
1,female,Age 80 to 84,mixed,11
3,female,Age 85 and over,mixed,11
74,male,Age 15 and below,asian,11
7,male,Age 16 to 17,asian,11
3,male,Age 18 to 19,asian,11
17,male,Age 20 to 24,asian,11
18,male,Age 25 to 29,asian,11
17,male,Age 30 to 34,asian,11
35,male,Age 35 to 39,asian,11
35,male,Age 40 to 44,asian,11
24,male,Age 45 to 49,asian,11
8,male,Age 50 to 54,asian,11
15,male,Age 55 to 59,asian,11
7,male,Age 60 to 64,asian,11
5,male,Age 65 to 69,asian,11
5,male,Age 70 to 74,asian,11
2,male,Age 75 to 79,asian,11
1,male,Age 80 to 84,asian,11
0,male,Age 85 and over,asian,11
78,female,Age 15 and below,asian,11
7,female,Age 16 to 17,asian,11
6,female,Age 18 to 19,asian,11
18,female,Age 20 to 24,asian,11
27,female,Age 25 to 29,asian,11
25,female,Age 30 to 34,asian,11
40,female,Age 35 to 39,asian,11
35,female,Age 40 to 44,asian,11
24,female,Age 45 to 49,asian,11
15,female,Age 50 to 54,asian,11
12,female,Age 55 to 59,asian,11
10,female,Age 60 to 64,asian,11
7,female,Age 65 to 69,asian,11
3,female,Age 70 to 74,asian,11
0,female,Age 75 to 79,asian,11
0,female,Age 80 to 84,asian,11
0,female,Age 85 and over,asian,11
11,male,Age 15 and below,black,11
0,male,Age 16 to 17,black,11
1,male,Age 18 to 19,black,11
3,male,Age 20 to 24,black,11
8,male,Age 25 to 29,black,11
16,male,Age 30 to 34,black,11
3,male,Age 35 to 39,black,11
9,male,Age 40 to 44,black,11
16,male,Age 45 to 49,black,11
9,male,Age 50 to 54,black,11
3,male,Age 55 to 59,black,11
5,male,Age 60 to 64,black,11
2,male,Age 65 to 69,black,11
2,male,Age 70 to 74,black,11
0,male,Age 75 to 79,black,11
0,male,Age 80 to 84,black,11
0,male,Age 85 and over,black,11
13,female,Age 15 and below,black,11
0,female,Age 16 to 17,black,11
7,female,Age 18 to 19,black,11
4,female,Age 20 to 24,black,11
5,female,Age 25 to 29,black,11
3,female,Age 30 to 34,black,11
17,female,Age 35 to 39,black,11
6,female,Age 40 to 44,black,11
9,female,Age 45 to 49,black,11
6,female,Age 50 to 54,black,11
3,female,Age 55 to 59,black,11
5,female,Age 60 to 64,black,11
0,female,Age 65 to 69,black,11
2,female,Age 70 to 74,black,11
0,female,Age 75 to 79,black,11
0,female,Age 80 to 84,black,11
0,female,Age 85 and over,black,11
4,male,Age 15 and below,other,11
0,male,Age 16 to 17,other,11
0,male,Age 18 to 19,other,11
1,male,Age 20 to 24,other,11
9,male,Age 25 to 29,other,11
10,male,Age 30 to 34,other,11
6,male,Age 35 to 39,other,11
3,male,Age 40 to 44,other,11
7,male,Age 45 to 49,other,11
2,male,Age 50 to 54,other,11
2,male,Age 55 to 59,other,11
1,male,Age 60 to 64,other,11
1,male,Age 65 to 69,other,11
1,male,Age 70 to 74,other,11
0,male,Age 75 to 79,other,11
0,male,Age 80 to 84,other,11
0,male,Age 85 and over,other,11
2,female,Age 15 and below,other,11
2,female,Age 16 to 17,other,11
0,female,Age 18 to 19,other,11
4,female,Age 20 to 24,other,11
2,female,Age 25 to 29,other,11
2,female,Age 30 to 34,other,11
2,female,Age 35 to 39,other,11
0,female,Age 40 to 44,other,11
1,female,Age 45 to 49,other,11
1,female,Age 50 to 54,other,11
1,female,Age 55 to 59,other,11
2,female,Age 60 to 64,other,11
0,female,Age 65 to 69,other,11
2,female,Age 70 to 74,other,11
0,female,Age 75 to 79,other,11
0,female,Age 80 to 84,other,11
1,female,Age 85 and over,other,11
8827,male,Age 15 and below,white,18
1271,male,Age 16 to 17,white,18
956,male,Age 18 to 19,white,18
2028,male,Age 20 to 24,white,18
1734,male,Age 25 to 29,white,18
1808,male,Age 30 to 34,white,18
2570,male,Age 35 to 39,white,18
3452,male,Age 40 to 44,white,18
3799,male,Age 45 to 49,white,18
3530,male,Age 50 to 54,white,18
3267,male,Age 55 to 59,white,18
3921,male,Age 60 to 64,white,18
3330,male,Age 65 to 69,white,18
2603,male,Age 70 to 74,white,18
2158,male,Age 75 to 79,white,18
1556,male,Age 80 to 84,white,18
1245,male,Age 85 and over,white,18
8315,female,Age 15 and below,white,18
1131,female,Age 16 to 17,white,18
922,female,Age 18 to 19,white,18
1837,female,Age 20 to 24,white,18
1678,female,Age 25 to 29,white,18
2148,female,Age 30 to 34,white,18
3080,female,Age 35 to 39,white,18
3777,female,Age 40 to 44,white,18
4283,female,Age 45 to 49,white,18
3681,female,Age 50 to 54,white,18
3482,female,Age 55 to 59,white,18
4152,female,Age 60 to 64,white,18
3588,female,Age 65 to 69,white,18
2988,female,Age 70 to 74,white,18
2409,female,Age 75 to 79,white,18
2124,female,Age 80 to 84,white,18
2480,female,Age 85 and over,white,18
231,male,Age 15 and below,mixed,18
25,male,Age 16 to 17,mixed,18
26,male,Age 18 to 19,mixed,18
25,male,Age 20 to 24,mixed,18
19,male,Age 25 to 29,mixed,18
26,male,Age 30 to 34,mixed,18
15,male,Age 35 to 39,mixed,18
26,male,Age 40 to 44,mixed,18
34,male,Age 45 to 49,mixed,18
14,male,Age 50 to 54,mixed,18
11,male,Age 55 to 59,mixed,18
12,male,Age 60 to 64,mixed,18
7,male,Age 65 to 69,mixed,18
10,male,Age 70 to 74,mixed,18
3,male,Age 75 to 79,mixed,18
3,male,Age 80 to 84,mixed,18
2,male,Age 85 and over,mixed,18
241,female,Age 15 and below,mixed,18
30,female,Age 16 to 17,mixed,18
12,female,Age 18 to 19,mixed,18
35,female,Age 20 to 24,mixed,18
27,female,Age 25 to 29,mixed,18
24,female,Age 30 to 34,mixed,18
33,female,Age 35 to 39,mixed,18
26,female,Age 40 to 44,mixed,18
34,female,Age 45 to 49,mixed,18
12,female,Age 50 to 54,mixed,18
20,female,Age 55 to 59,mixed,18
13,female,Age 60 to 64,mixed,18
19,female,Age 65 to 69,mixed,18
5,female,Age 70 to 74,mixed,18
0,female,Age 75 to 79,mixed,18
7,female,Age 80 to 84,mixed,18
4,female,Age 85 and over,mixed,18
83,male,Age 15 and below,asian,18
19,male,Age 16 to 17,asian,18
16,male,Age 18 to 19,asian,18
35,male,Age 20 to 24,asian,18
30,male,Age 25 to 29,asian,18
37,male,Age 30 to 34,asian,18
29,male,Age 35 to 39,asian,18
44,male,Age 40 to 44,asian,18
29,male,Age 45 to 49,asian,18
26,male,Age 50 to 54,asian,18
31,male,Age 55 to 59,asian,18
9,male,Age 60 to 64,asian,18
15,male,Age 65 to 69,asian,18
10,male,Age 70 to 74,asian,18
4,male,Age 75 to 79,asian,18
2,male,Age 80 to 84,asian,18
2,male,Age 85 and over,asian,18
72,female,Age 15 and below,asian,18
16,female,Age 16 to 17,asian,18
11,female,Age 18 to 19,asian,18
24,female,Age 20 to 24,asian,18
28,female,Age 25 to 29,asian,18
54,female,Age 30 to 34,asian,18
54,female,Age 35 to 39,asian,18
68,female,Age 40 to 44,asian,18
57,female,Age 45 to 49,asian,18
46,female,Age 50 to 54,asian,18
32,female,Age 55 to 59,asian,18
18,female,Age 60 to 64,asian,18
13,female,Age 65 to 69,asian,18
8,female,Age 70 to 74,asian,18
7,female,Age 75 to 79,asian,18
1,female,Age 80 to 84,asian,18
7,female,Age 85 and over,asian,18
